date,category,description,amount
2026-06-03,Аренда,Коммунальные услуги склад,151214.83
2026-01-21,Офис,Уборка офиса,5388.27
2026-01-12,Офис,Вода и кофе,16734.12
2026-01-20,IT,Разработка сайта,69096.71
2026-03-01,Офис,Подарки сотрудникам,4313.22
2026-05-27,Закупка товара,Закупка — расходники упаковка,148980.0
2026-06-08,Логистика,Транспортировка со склада,6924.88
2026-06-10,IT,Домен — продление,14994.54
2026-06-30,Закупка товара,Закупка — сезонная коллекция,285739.7
2026-02-15,Маркетинг,Таргет ВКонтакте,86470.26
2026-06-29,IT,CRM — подписка,57232.92
2026-01-04,Закупка товара,Закупка — поставщик Китай,346873.86
2026-01-12,Закупка товара,Закупка — поставщик Китай,118652.29
2026-06-09,Закупка товара,Закупка — сезонная коллекция,64064.21
2026-01-19,IT,Хостинг сайта,28321.8
2026-06-21,Зарплаты,Больничный,80356.45
2026-05-23,IT,Антивирус — лицензия,77414.31
2026-06-30,Зарплаты,Оклад — маркетолог,105250.12
2026-03-18,Закупка товара,Сертификация товара,105174.99
2026-01-11,Закупка товара,Сертификация товара,53773.98
2026-05-14,Зарплаты,Оклад — бухгалтер,32267.92
2026-01-22,Закупка товара,Закупка — допартия,299188.47
2026-02-24,Офис,Вода и кофе,23795.4
2026-06-13,Логистика,Экспресс-доставка,8089.64
2026-06-23,Логистика,Доставка Boxberry,41010.79
2026-01-07,Логистика,Экспресс-доставка,19651.94
2026-05-05,Логистика,Доставка Почта России,32318.83
2026-03-02,IT,Телефония,6597.73
2026-02-25,IT,Разработка сайта,19866.55
2026-04-26,Аренда,Парковка,207545.3
2026-04-29,Логистика,Доставка по Москве,15905.12
2026-03-24,Зарплаты,Оклад — кладовщик,77166.97
2026-06-12,Аренда,Аренда шоурума,150459.13
2026-02-01,IT,Антивирус — лицензия,66431.91
2026-01-22,Аренда,Аренда офиса,249931.04
2026-04-26,Логистика,Транспортировка со склада,14846.14
2026-01-29,Закупка товара,Закупка — допартия,311352.38
2026-03-07,Аренда,Аренда шоурума,166820.02
2026-05-18,Офис,Новогодний корпоратив,7935.67
2026-01-19,Офис,Мебель,2201.63
2026-06-07,Закупка товара,Сертификация товара,245965.16
2026-05-26,IT,1С — обслуживание,42542.66
2026-01-23,Закупка товара,Закупка — новый поставщик,40636.06
2026-02-14,Закупка товара,Закупка — допартия,285660.56
2026-06-12,Зарплаты,Оклад — курьер,88595.54
2026-04-12,Офис,Канцелярия,13516.08
2026-04-28,Зарплаты,Премия квартальная,169535.01
2026-02-18,Логистика,Экспресс-доставка,33533.69
2026-01-17,Маркетинг,Блогер — интеграция,74050.07
2026-04-05,Маркетинг,Дизайн баннеров,100497.0
2026-05-31,Офис,Обеды для команды,7476.69
2026-04-13,Офис,Новогодний корпоратив,10609.8
2026-05-06,IT,1С — обслуживание,31873.22
2026-02-22,Офис,Обеды для команды,9603.39
2026-04-15,Аренда,Коммунальные услуги офис,221040.08
2026-04-19,Зарплаты,Премия квартальная,112273.85
2026-01-06,Аренда,Аренда офиса,240416.33
2026-03-13,Закупка товара,Закупка — расходники упаковка,40507.47
2026-03-26,Маркетинг,Контент для соцсетей,110718.75
2026-02-02,Офис,Вода и кофе,14534.56
2026-05-13,Аренда,Аренда шоурума,184467.75
2026-05-12,Закупка товара,Закупка — поставщик Китай,166759.74
2026-02-25,Аренда,Коммунальные услуги склад,43497.09
2026-04-06,Зарплаты,Оклад — бухгалтер,74882.59
2026-02-19,Офис,Подарки сотрудникам,10079.49
2026-03-16,IT,Разработка сайта,44977.28
2026-01-10,Офис,Мебель,23530.34
2026-05-28,Зарплаты,Премия квартальная,178218.78
2026-05-13,Офис,Мебель,3078.06
2026-01-03,Офис,Канцелярия,19284.7
2026-01-10,Зарплаты,Оклад — дизайнер,84414.05
2026-03-07,Логистика,Возврат товара — доставка,36233.98
2026-01-29,Логистика,Экспресс-доставка,22396.37
2026-05-01,Логистика,Возврат товара — доставка,41348.91
2026-04-21,Логистика,Доставка СДЭК,35041.4
2026-06-29,Логистика,Доставка СДЭК,19527.42
2026-02-06,Маркетинг,Таргет ВКонтакте,140629.79
2026-01-01,IT,Домен — продление,43670.17
2026-03-27,Маркетинг,Реклама Telegram,21223.84
2026-04-26,Логистика,Возврат товара — доставка,39420.89
2026-05-04,Закупка товара,Закупка — образцы,148344.17
2026-06-25,Закупка товара,Закупка — сезонная коллекция,342849.0
2026-04-26,Закупка товара,Закупка — расходники упаковка,18987.73
2026-04-05,Закупка товара,Закупка — расходники упаковка,346780.3
2026-03-19,Маркетинг,Реклама Telegram,132557.87
2026-03-22,Офис,Вода и кофе,2577.07
2026-02-01,Маркетинг,Блогер — интеграция,124169.65
2026-06-09,Закупка товара,Закупка — допартия,57694.14
2026-01-03,Аренда,Аренда шоурума,125261.52
2026-06-06,Закупка товара,Сертификация товара,53224.44
2026-04-10,Закупка товара,Закупка — новый поставщик,221403.01
2026-02-09,Зарплаты,Оклад — менеджер,63115.06
2026-02-25,Логистика,Доставка Boxberry,25952.67
2026-01-30,IT,Хостинг сайта,54742.39
2026-04-17,Аренда,Парковка,40757.08
2026-04-14,Маркетинг,SEO-продвижение,69304.33
2026-05-18,Офис,Обеды для команды,19180.4
2026-06-28,Зарплаты,Оклад — менеджер,128794.52
2026-06-05,Закупка товара,Закупка — поставщик РФ,65640.71
2026-02-06,Зарплаты,Оклад — кладовщик,161602.52
2026-05-23,IT,Техподдержка,17051.73
2026-03-09,Маркетинг,Блогер — интеграция,115475.69
2026-05-25,Логистика,Экспресс-доставка,42682.1
2026-01-03,Аренда,Аренда склада,144976.48
2026-05-29,Офис,Обеды для команды,7323.7
2026-01-01,Офис,Обеды для команды,17745.6
2026-01-25,Зарплаты,Премия квартальная,132527.51
2026-05-13,Маркетинг,Яндекс.Директ,94920.9
2026-04-13,Зарплаты,Оклад — бухгалтер,75357.59
2026-05-27,Маркетинг,Email-рассылка,49734.79
2026-04-10,Маркетинг,Яндекс.Директ,108112.92
2026-03-19,Маркетинг,Яндекс.Директ,142046.71
2026-04-02,Логистика,Транспортировка со склада,10249.08
2026-04-16,Офис,Мебель,20103.95
2026-03-19,Зарплаты,Оклад — бухгалтер,120404.81
2026-04-17,Офис,Новогодний корпоратив,3140.26
2026-06-05,Маркетинг,Реклама Telegram,37804.98
2026-06-16,Аренда,Аренда склада,102383.29
2026-06-10,Аренда,Парковка,244136.89
2026-04-08,Зарплаты,Оклад — менеджер,175671.25
2026-05-27,Логистика,Транспортировка со склада,22691.16
2026-06-03,Аренда,Коммунальные услуги офис,195342.85
2026-01-22,Логистика,Курьерская служба,4327.59
2026-01-29,Маркетинг,Реклама Telegram,56030.07
2026-01-03,IT,1С — обслуживание,32337.27
2026-03-16,Маркетинг,Яндекс.Директ,99135.34
2026-06-04,Офис,Ремонт офиса,22641.49
2026-01-18,Логистика,Доставка по Москве,43879.73
2026-01-12,Офис,Уборка офиса,22882.63
2026-04-09,Логистика,Курьерская служба,7466.72
2026-03-24,Офис,Уборка офиса,6617.09
2026-02-03,Маркетинг,Промо-акция,17637.75
2026-02-09,Закупка товара,Закупка — допартия,254506.93
2026-02-13,IT,Разработка сайта,10043.23
2026-02-09,Закупка товара,Закупка — поставщик Китай,49142.16
2026-06-29,Логистика,Доставка Boxberry,12576.49
2026-01-09,Офис,Новогодний корпоратив,3433.95
2026-04-11,Офис,Канцелярия,10929.59
2026-01-30,Офис,Мебель,10443.72
2026-02-03,Закупка товара,Закупка — новый поставщик,271969.67
2026-03-02,IT,1С — обслуживание,77888.65
2026-02-05,Аренда,Аренда шоурума,177396.92
2026-04-02,Аренда,Аренда склада,88624.06
2026-03-06,Закупка товара,Таможенные сборы,174082.26
2026-06-04,Зарплаты,Оклад — маркетолог,62260.43
2026-02-09,Логистика,Доставка Почта России,8141.86
2026-06-19,Логистика,Доставка СДЭК,37993.11
2026-02-28,Аренда,Аренда склада,153252.55
2026-02-04,Офис,Мебель,7422.76
2026-06-12,Логистика,Транспортировка со склада,24736.3
2026-04-04,IT,Разработка сайта,57240.7
2026-03-13,Аренда,Аренда офиса,61500.96
2026-05-14,Логистика,Экспресс-доставка,5362.55
2026-05-21,Закупка товара,Закупка — расходники упаковка,134396.76
2026-05-14,IT,1С — обслуживание,7831.47
2026-05-19,Маркетинг,Яндекс.Директ,87718.68
2026-03-20,Аренда,Коммунальные услуги склад,183182.74
2026-06-15,Офис,Новогодний корпоратив,2189.44
2026-06-06,Логистика,Курьерская служба,8965.8
2026-02-12,Зарплаты,Больничный,28754.94
2026-02-08,Маркетинг,SEO-продвижение,12059.26
2026-04-09,Зарплаты,Оклад — бухгалтер,139570.48
2026-05-31,Аренда,Парковка,38504.63
2026-03-26,Зарплаты,Оклад — бухгалтер,162978.71
2026-06-17,Зарплаты,Оклад — курьер,69165.06
2026-05-08,IT,Хостинг сайта,72938.74
2026-01-04,Офис,Канцелярия,20876.39
2026-06-20,Офис,Мебель,9956.28
2026-03-11,Зарплаты,Оклад — дизайнер,90679.28
2026-05-20,Офис,Подарки сотрудникам,20020.88
2026-02-13,IT,Телефония,76734.05
2026-04-08,Аренда,Аренда шоурума,176661.57
2026-06-15,Маркетинг,Дизайн баннеров,138858.42
2026-04-08,Зарплаты,Оклад — бухгалтер,55884.92
2026-01-02,Закупка товара,Закупка — сезонная коллекция,320245.38
2026-01-21,Аренда,Коммунальные услуги офис,225307.59
2026-01-21,Закупка товара,Таможенные сборы,336799.52
2026-05-31,Закупка товара,Таможенные сборы,87068.03
2026-06-21,Зарплаты,Больничный,179494.61
2026-06-24,Закупка товара,Закупка — поставщик Китай,303297.33
2026-02-04,Офис,Обеды для команды,19879.97
2026-04-26,Зарплаты,Оклад — кладовщик,75970.41
2026-05-19,Офис,Вода и кофе,17259.81
2026-06-25,Закупка товара,Закупка — расходники упаковка,178353.88
2026-05-15,Аренда,Аренда шоурума,170313.55
2026-01-15,Закупка товара,Закупка — новый поставщик,25464.3
2026-04-26,Закупка товара,Закупка — новый поставщик,195457.26
2026-06-18,Логистика,Доставка Boxberry,36133.61
2026-01-31,Аренда,Аренда офиса,198050.54
2026-05-06,Маркетинг,SEO-продвижение,144137.29
2026-01-24,Зарплаты,Оклад — кладовщик,156404.99
2026-03-07,Закупка товара,Закупка — сезонная коллекция,224890.49
2026-01-15,Логистика,Возврат товара — доставка,31157.77
2026-06-21,IT,Хостинг сайта,65522.17
2026-03-03,Зарплаты,Оклад — менеджер,120295.49
2026-03-23,Зарплаты,Больничный,45811.39
2026-01-21,Аренда,Парковка,209594.59
2026-01-04,Офис,Ремонт офиса,18105.66
2026-01-30,Логистика,Курьерская служба,30767.97
2026-02-22,IT,CRM — подписка,3368.43
2026-06-16,IT,Хостинг сайта,17529.13
2026-06-20,Маркетинг,Таргет ВКонтакте,52549.68
2026-03-13,Закупка товара,Закупка — расходники упаковка,209165.18
2026-02-19,Закупка товара,Закупка — сезонная коллекция,20114.83
2026-06-23,Логистика,Доставка Boxberry,16858.35
2026-05-05,Маркетинг,Таргет ВКонтакте,71706.56
2026-01-08,IT,1С — обслуживание,2856.94
2026-01-01,IT,CRM — подписка,79355.14
2026-01-21,Маркетинг,SEO-продвижение,88169.77
2026-06-06,Зарплаты,Оклад — дизайнер,90518.07
2026-05-22,Логистика,Доставка по Москве,33340.66
2026-04-16,Логистика,Доставка СДЭК,28038.71
2026-06-13,Офис,Мебель,4799.63
2026-03-31,Офис,Уборка офиса,16511.59
2026-03-25,Аренда,Коммунальные услуги склад,40267.82
2026-01-04,Маркетинг,Яндекс.Директ,62471.2
2026-06-20,Офис,Вода и кофе,1808.31
2026-03-27,Зарплаты,Больничный,27298.98
2026-04-12,Офис,Вода и кофе,3420.84
2026-05-18,Логистика,Доставка Boxberry,43124.81
2026-06-12,Аренда,Аренда шоурума,245330.81
2026-02-25,IT,Техподдержка,64357.6
2026-03-12,Аренда,Коммунальные услуги склад,153449.74
2026-03-08,Закупка товара,Закупка — поставщик РФ,95312.95
2026-04-01,Маркетинг,Промо-акция,39357.89
2026-06-21,Маркетинг,Дизайн баннеров,54580.06
2026-04-16,Закупка товара,Закупка — новый поставщик,85579.04
2026-01-18,Аренда,Парковка,27232.56
2026-04-14,Зарплаты,Оклад — курьер,69874.86
2026-05-12,Зарплаты,Премия квартальная,58413.19
2026-03-06,Маркетинг,Контент для соцсетей,32323.77
2026-02-04,Офис,Уборка офиса,12541.25
2026-04-19,Закупка товара,Закупка — образцы,225433.85
2026-06-24,Маркетинг,Яндекс.Директ,64659.49
2026-04-12,IT,Разработка сайта,47191.05
2026-01-28,Маркетинг,Email-рассылка,48868.38
2026-03-12,Логистика,Курьерская служба,4638.45
2026-02-20,Маркетинг,Промо-акция,90667.57
2026-01-15,IT,Домен — продление,49392.65
2026-06-23,Аренда,Аренда шоурума,149014.96
2026-01-15,Офис,Подарки сотрудникам,21710.69
2026-05-10,Логистика,Доставка Почта России,24563.44
2026-01-18,Логистика,Доставка по Москве,44740.27
2026-06-29,Закупка товара,Закупка — новый поставщик,39216.57
2026-06-15,Маркетинг,Email-рассылка,99146.41
2026-02-18,Офис,Вода и кофе,18557.63
2026-02-26,Аренда,Аренда склада,85578.48
2026-01-17,Зарплаты,Оклад — менеджер,70185.1
2026-06-07,IT,Облачное хранилище,63488.78
2026-06-22,Маркетинг,Блогер — интеграция,48041.63
2026-04-20,Зарплаты,Оклад — дизайнер,25104.77
2026-04-19,Маркетинг,Промо-акция,121470.69
2026-06-15,IT,Облачное хранилище,75039.66
2026-03-19,Логистика,Курьерская служба,27992.22
2026-02-11,Зарплаты,Премия квартальная,59951.96
2026-02-24,Логистика,Международная доставка,44507.98
2026-04-22,Аренда,Аренда офиса,180901.27
2026-03-30,IT,Разработка сайта,23265.78
2026-03-27,Зарплаты,Оклад — дизайнер,176645.59
2026-02-27,Закупка товара,Закупка — поставщик РФ,116723.52
2026-01-23,Офис,Ремонт офиса,8612.22
2026-06-26,Маркетинг,Таргет ВКонтакте,149043.97
2026-04-25,Зарплаты,Оклад — бухгалтер,98819.23
2026-03-11,Зарплаты,Оклад — маркетолог,122963.27
2026-05-28,Закупка товара,Закупка — расходники упаковка,165523.82
2026-06-15,Аренда,Парковка,68949.75
2026-05-20,Офис,Ремонт офиса,10565.53
2026-03-03,Маркетинг,Промо-акция,23886.58
2026-01-06,Офис,Уборка офиса,16365.32
2026-06-28,Аренда,Коммунальные услуги офис,201547.23
2026-05-02,Зарплаты,Оклад — дизайнер,29690.94
2026-05-04,Закупка товара,Закупка — расходники упаковка,225011.55
2026-02-06,Зарплаты,Подработка — сезон,124843.39
2026-06-20,Закупка товара,Закупка — допартия,88245.95
2026-04-28,Логистика,Доставка по Москве,15214.36
2026-06-04,IT,CRM — подписка,74581.42
2026-06-07,IT,Хостинг сайта,35681.69
2026-04-10,Маркетинг,Дизайн баннеров,147691.49
2026-03-29,Логистика,Доставка СДЭК,33353.46
2026-03-12,Логистика,Доставка Boxberry,29848.81
2026-03-21,Логистика,Экспресс-доставка,23224.29
2026-03-24,Зарплаты,Оклад — курьер,146477.34
2026-06-19,Зарплаты,Премия квартальная,87455.42
2026-04-01,Маркетинг,Дизайн баннеров,120331.23
2026-04-16,Закупка товара,Закупка — поставщик Китай,56025.63
2026-05-03,Зарплаты,Оклад — менеджер,174712.25
2026-01-19,Маркетинг,Email-рассылка,118783.36
2026-01-25,Маркетинг,SEO-продвижение,34333.63
2026-06-27,Офис,Ремонт офиса,23905.27
2026-02-23,Логистика,Международная доставка,42479.49
2026-04-23,Маркетинг,Дизайн баннеров,83904.34
2026-06-15,Аренда,Аренда офиса,73229.8
2026-06-09,Логистика,Транспортировка со склада,14352.57
2026-03-22,IT,Техподдержка,41600.26
2026-03-23,Зарплаты,Оклад — менеджер,158245.5
2026-06-25,IT,Облачное хранилище,9908.12
2026-06-15,Аренда,Аренда офиса,231798.0
2026-05-17,IT,Хостинг сайта,45044.59
2026-04-01,IT,Техподдержка,37341.87
2026-02-11,Логистика,Доставка Boxberry,5174.69
2026-02-13,Закупка товара,Закупка — расходники упаковка,260643.13
2026-05-05,Аренда,Аренда шоурума,204642.3
2026-04-09,IT,Антивирус — лицензия,48116.31
2026-05-22,IT,Облачное хранилище,33747.54
2026-06-17,IT,Хостинг сайта,19381.12
2026-03-13,IT,Разработка сайта,16169.83
2026-05-17,Аренда,Коммунальные услуги склад,190345.38
2026-03-10,Закупка товара,Сертификация товара,291300.9
2026-06-30,Офис,Вода и кофе,2734.19
2026-05-21,Зарплаты,Оклад — дизайнер,169886.41
2026-03-26,IT,Антивирус — лицензия,16758.21
2026-05-05,Офис,Обеды для команды,6222.19
2026-06-08,Закупка товара,Закупка — поставщик РФ,40855.3
2026-05-03,Офис,Обеды для команды,23700.46
2026-03-12,Зарплаты,Оклад — дизайнер,30807.18
2026-06-19,Закупка товара,Закупка — допартия,89258.06
2026-04-23,IT,Хостинг сайта,37358.87
2026-06-10,Зарплаты,Больничный,158958.27
2026-06-22,Офис,Ремонт офиса,17321.98
2026-01-30,Аренда,Коммунальные услуги склад,230244.12
2026-06-25,Аренда,Коммунальные услуги офис,157865.33
2026-02-11,Аренда,Аренда шоурума,177553.6
2026-02-04,Аренда,Аренда склада,15021.7
2026-06-10,Аренда,Аренда офиса,187241.14
2026-04-15,Закупка товара,Закупка — поставщик РФ,59003.75
2026-04-15,IT,Домен — продление,72145.42
2026-01-29,Аренда,Парковка,106433.92
2026-02-16,Маркетинг,Реклама Telegram,32509.34
2026-03-15,IT,1С — обслуживание,28463.02
2026-03-10,IT,Разработка сайта,27462.43
2026-06-10,Маркетинг,Яндекс.Директ,52831.16
2026-03-18,Зарплаты,Оклад — менеджер,94249.37
2026-06-18,Закупка товара,Закупка — расходники упаковка,332061.73
2026-01-20,Маркетинг,Email-рассылка,93533.7
2026-03-02,Логистика,Курьерская служба,28850.67
2026-05-10,Маркетинг,Контент для соцсетей,52515.37
2026-04-16,Аренда,Аренда шоурума,42151.01
2026-06-21,Офис,Обеды для команды,3298.81
2026-01-30,Маркетинг,SEO-продвижение,12437.6
2026-06-06,Логистика,Курьерская служба,27425.58
2026-03-11,IT,Разработка сайта,2928.62
2026-05-05,Аренда,Аренда склада,66422.49
2026-01-02,Логистика,Транспортировка со склада,23887.19
2026-02-12,IT,Антивирус — лицензия,72292.99
2026-05-28,Логистика,Возврат товара — доставка,1588.36
2026-03-24,Маркетинг,Реклама Telegram,82455.84
2026-06-04,Маркетинг,Таргет ВКонтакте,75652.36
2026-02-05,Логистика,Возврат товара — доставка,38755.14
2026-06-24,Закупка товара,Закупка — поставщик Китай,106143.46
2026-05-16,Аренда,Аренда склада,209345.84
2026-04-02,Логистика,Международная доставка,33536.38
2026-01-12,Закупка товара,Сертификация товара,52090.87
2026-02-28,Аренда,Аренда шоурума,154691.95
2026-06-20,IT,Антивирус — лицензия,55685.5
2026-04-28,Аренда,Парковка,200212.04
2026-06-11,Закупка товара,Закупка — допартия,68323.19
2026-01-15,IT,Хостинг сайта,40572.13
2026-04-27,Зарплаты,Премия квартальная,132950.83
2026-05-25,Закупка товара,Закупка — сезонная коллекция,144788.26
2026-05-28,Логистика,Доставка СДЭК,40361.58
2026-03-04,Офис,Вода и кофе,9148.74
2026-03-02,Маркетинг,Контент для соцсетей,111092.61
2026-05-12,Маркетинг,Яндекс.Директ,132114.94
2026-03-22,Закупка товара,Закупка — сезонная коллекция,209876.55
2026-06-19,Офис,Подарки сотрудникам,5519.87
2026-02-10,Офис,Новогодний корпоратив,22216.51
2026-05-14,Логистика,Доставка Boxberry,13905.14
2026-01-04,Маркетинг,Промо-акция,5524.25
2026-05-18,Аренда,Аренда офиса,226890.17
2026-01-23,Зарплаты,Оклад — курьер,104868.5
2026-06-19,Маркетинг,Яндекс.Директ,146704.48
2026-05-10,Зарплаты,Оклад — дизайнер,105386.72
2026-05-11,Аренда,Аренда склада,87828.12
2026-03-07,IT,Домен — продление,56845.44
2026-06-07,Аренда,Аренда офиса,136000.63
2026-06-26,Логистика,Возврат товара — доставка,27696.98
2026-01-29,Аренда,Коммунальные услуги склад,106909.74
2026-05-26,Маркетинг,SEO-продвижение,52715.14
2026-02-22,Аренда,Аренда склада,58379.51
2026-06-01,,Непонятный платёж,12300.0
2026-03-03,Офис,Канцелярия,19703.14
2026-01-31,Офис,Обеды для команды,24369.34
2026-05-15,Логистика,Доставка СДЭК,17611.59
2026-02-05,Зарплаты,Оклад — курьер,137409.13
2026-05-30,Маркетинг,Блогер — интеграция,128625.05
2026-03-16,Офис,Подарки сотрудникам,971.77
2026-04-26,Маркетинг,Дизайн баннеров,17933.83
2026-01-19,IT,Домен — продление,40121.03
2026-04-03,Логистика,Доставка СДЭК,41082.2
2026-06-06,Аренда,Аренда склада,142195.98
2026-05-29,IT,Антивирус — лицензия,75719.39
2026-04-17,Зарплаты,Оклад — менеджер,80943.54
2026-03-23,Офис,Вода и кофе,20083.15
2026-05-21,Закупка товара,Сертификация товара,161363.87
2026-06-05,Маркетинг,Дизайн баннеров,59834.88
2026-03-18,Закупка товара,Закупка — расходники упаковка,211411.35
2026-03-25,Закупка товара,Закупка — новый поставщик,148548.67
2026-03-21,Маркетинг,SEO-продвижение,36724.07
2026-02-27,Закупка товара,Закупка — поставщик РФ,176263.36
2026-04-29,Аренда,Аренда шоурума,107417.83
2026-05-02,IT,CRM — подписка,12323.33
2026-05-11,Офис,Ремонт офиса,21884.86
2026-01-11,IT,Техподдержка,55042.17
2026-05-01,Закупка товара,Закупка — допартия,322167.74
2026-06-20,Закупка товара,Закупка — образцы,279276.1
2026-03-02,Офис,Обеды для команды,14531.5
2026-03-09,Офис,Канцелярия,15124.29
2026-06-15,IT,CRM — подписка,31332.83
2026-05-13,Офис,Новогодний корпоратив,11233.45
2026-06-04,Маркетинг,Реклама Telegram,25288.89
2026-02-22,Офис,Мебель,21882.19
2026-06-20,Логистика,Доставка Boxberry,10126.53
2026-06-30,Логистика,Экспресс-доставка,21866.89
2026-01-31,Зарплаты,Оклад — бухгалтер,95865.39
2026-03-20,Логистика,Доставка СДЭК,7692.69
2026-03-21,IT,1С — обслуживание,69144.43
2026-03-07,Логистика,Транспортировка со склада,31298.75
2026-05-19,Закупка товара,Закупка — поставщик Китай,336150.56
2026-05-15,Закупка товара,Сертификация товара,255551.05
2026-04-05,Офис,Новогодний корпоратив,7263.13
2026-03-25,Зарплаты,Оклад — менеджер,173767.18
2026-01-27,Маркетинг,Таргет ВКонтакте,89710.59
2026-06-03,Аренда,Аренда офиса,123052.85
2026-02-11,Маркетинг,Реклама Telegram,17133.48
2026-03-02,IT,1С — обслуживание,39919.57
2026-06-18,Закупка товара,Закупка — поставщик РФ,37150.54
2026-04-14,IT,Техподдержка,64157.45
2026-06-10,Закупка товара,Закупка — новый поставщик,327449.4
2026-02-25,Закупка товара,Закупка — новый поставщик,126448.49
2026-02-20,Закупка товара,Закупка — новый поставщик,106841.34
2026-06-28,IT,Телефония,31553.33
2026-06-11,Офис,Уборка офиса,12854.3
2026-05-12,Аренда,Парковка,60240.41
2026-02-25,Офис,Подарки сотрудникам,3757.57
2026-05-13,Логистика,Транспортировка со склада,14086.52
2026-01-29,Офис,Обеды для команды,11715.11
2026-05-12,Аренда,Аренда шоурума,149592.86
2026-04-06,Логистика,Доставка СДЭК,1960.11
2026-06-20,Маркетинг,SEO-продвижение,142359.62
2026-02-01,Закупка товара,Закупка — поставщик РФ,66146.63
2026-04-05,Закупка товара,Таможенные сборы,224068.01
2026-02-01,Зарплаты,Оклад — кладовщик,146323.71
2026-05-18,Зарплаты,Оклад — кладовщик,40064.76
2026-01-19,Закупка товара,Закупка — сезонная коллекция,220569.82
2026-02-16,Закупка товара,Закупка — новый поставщик,56652.44
2026-06-01,Зарплаты,Оклад — кладовщик,77769.77
2026-06-08,Офис,Канцелярия,8516.75
2026-02-20,Логистика,Доставка СДЭК,1964.84
2026-05-27,Логистика,Международная доставка,20433.15
2026-06-12,Логистика,Курьерская служба,41584.94
2026-04-08,IT,Облачное хранилище,15319.58
2026-03-19,Аренда,Аренда склада,226152.6
2026-01-04,Логистика,Доставка СДЭК,38754.05
2026-04-04,Офис,Новогодний корпоратив,21182.13
2026-01-03,Офис,Ремонт офиса,10525.48
2026-02-14,IT,Разработка сайта,46523.51
2026-04-14,Аренда,Коммунальные услуги офис,204721.34
2026-01-15,Маркетинг,Контент для соцсетей,12342.61
2026-04-09,Маркетинг,Контент для соцсетей,113107.71
2026-02-04,Аренда,Коммунальные услуги офис,18831.08
2026-04-07,Зарплаты,Премия квартальная,56311.83
2026-01-20,Аренда,Аренда шоурума,214688.19
2026-02-19,Маркетинг,Контент для соцсетей,55426.72
2026-02-20,Маркетинг,Таргет ВКонтакте,95369.29
2026-01-02,Аренда,Аренда офиса,16285.32
2026-06-03,Аренда,Аренда офиса,24356.88
2026-04-10,Логистика,Международная доставка,39406.23
2026-05-25,IT,Техподдержка,43054.85
2026-02-22,Зарплаты,Оклад — бухгалтер,91852.83
2026-01-28,Закупка товара,Закупка — поставщик РФ,102533.84
2026-05-14,Маркетинг,Контент для соцсетей,104875.02
2026-06-16,Закупка товара,Таможенные сборы,112990.58
2026-04-21,Аренда,Аренда шоурума,27232.24
2026-04-25,Маркетинг,Яндекс.Директ,107718.67
2026-03-13,Маркетинг,Дизайн баннеров,135591.98
2026-06-19,Закупка товара,Закупка — поставщик РФ,267259.15
2026-05-05,Маркетинг,Реклама Telegram,118252.82
2026-02-24,Логистика,Доставка Boxberry,13335.75
2026-03-06,IT,Разработка сайта,40927.32
2026-05-08,Зарплаты,Больничный,81718.24
2026-04-14,Аренда,Коммунальные услуги офис,85633.7
2026-06-04,Логистика,Экспресс-доставка,36088.62
2026-06-26,IT,Разработка сайта,60167.93
2026-01-02,Маркетинг,Блогер — интеграция,134661.35
2026-04-30,Аренда,Аренда склада,174840.77
2026-04-28,IT,Домен — продление,15879.93
2026-05-19,Аренда,Аренда офиса,90875.97
2026-04-25,Закупка товара,Закупка — сезонная коллекция,46497.25
2026-02-10,Аренда,Аренда шоурума,160125.43
2026-05-02,Маркетинг,Яндекс.Директ,8839.63
2026-03-27,Аренда,Коммунальные услуги склад,36905.84
2026-05-29,Логистика,Курьерская служба,38240.51
2026-01-20,Маркетинг,Дизайн баннеров,117309.44
2026-01-08,Офис,Ремонт офиса,14458.96
2026-02-21,Офис,Обеды для команды,1406.1
2026-04-08,Закупка товара,Закупка — поставщик РФ,304286.73
2026-03-02,Офис,Подарки сотрудникам,10380.29
2026-05-14,Логистика,Доставка по Москве,24844.66
2026-04-05,Зарплаты,Премия квартальная,30071.02
2026-06-04,Зарплаты,Оклад — курьер,159660.98
2026-03-18,Маркетинг,Контент для соцсетей,60513.11
2026-05-27,Зарплаты,Оклад — бухгалтер,61586.38
2026-05-07,Аренда,Коммунальные услуги офис,246139.17
2026-02-15,Маркетинг,Блогер — интеграция,30038.55
2026-06-29,Маркетинг,SEO-продвижение,99979.34
2026-01-22,Аренда,Коммунальные услуги офис,34918.35
2026-03-19,Закупка товара,Закупка — образцы,88262.22
2026-02-22,Логистика,Возврат товара — доставка,29025.91
2026-06-11,Закупка товара,Закупка — новый поставщик,183063.71
2026-01-21,Закупка товара,Сертификация товара,175359.35
2026-01-20,Маркетинг,Дизайн баннеров,81974.63
2026-02-28,Зарплаты,Оклад — маркетолог,47058.88
2026-03-03,Закупка товара,Закупка — образцы,103044.9
2026-02-13,Закупка товара,Закупка — поставщик РФ,178387.73
2026-03-01,Зарплаты,Оклад — дизайнер,70145.19
2026-04-09,Маркетинг,Реклама Telegram,91902.51
2026-04-19,Аренда,Аренда склада,247216.4
2026-03-06,Закупка товара,Закупка — поставщик Китай,166833.41
2026-06-02,Логистика,Транспортировка со склада,11391.33
2026-06-17,Аренда,Аренда склада,245457.62
